scenario_id,gen_model,consensus_rate,partial_conv_rate,unanimous_rate,mean_accept,mean_modify,mean_reject,n
aging_parent,gpt-4o,0.0,1.0,0.0,0.0,3.0,0.0,9
aging_parent,gpt-5.4-nano,0.0,1.0,0.0,0.0,3.0,0.0,8
av_engineer,gpt-4o,0.0,1.0,0.0,0.1111111111111111,2.888888888888889,0.0,9
av_engineer,gpt-5.4-nano,0.0,1.0,0.0,0.0,3.0,0.0,10
hospital_allocation,gpt-4o,0.0,1.0,0.0,0.2,3.1,0.0,10
hospital_allocation,gpt-5.4-nano,0.0,1.0,0.0,0.5,2.5,0.0,4
pharma_whistleblower,gpt-4o,0.0,1.0,0.0,0.0,3.0,0.0,6
pharma_whistleblower,gpt-5.4-nano,0.0,1.0,0.0,0.0,3.0,0.0,10
research_volunteer,gpt-4o,0.0,1.0,0.0,0.0,3.0,0.0,8
research_volunteer,gpt-5.4-nano,0.0,1.0,0.0,0.0,3.0,0.0,8
